ID,PARTIDO_ID,Monto,Fecha de Pago,Trimestre
234,22,84248902,2018-09-25 00:00:00,TERCER APORTE
235,23,70808563,2018-09-12 00:00:00,TERCER APORTE
236,24,74101781,2018-09-26 00:00:00,TERCER APORTE
237,18,79699402,2018-10-05 00:00:00,TERCER APORTE
238,15,90760987,2019-01-28 00:00:00,TERCER APORTE
239,7,28321951,2018-08-29 00:00:00,TERCER APORTE
240,40,3947240,2019-03-13 00:00:00,TERCER APORTE
241,11,10525972,2019-06-19 00:00:00,TERCER APORTE
242,39,74879242,2018-09-14 00:00:00,TERCER APORTE
243,41,21043308,2019-06-20 00:00:00,TERCER APORTE
244,27,44020728,2019-01-08 00:00:00,TERCER APORTE
245,37,0,,TERCER APORTE
246,28,42819106,2019-01-17 00:00:00,TERCER APORTE
247,4,267384566,2018-11-27 00:00:00,CUARTO APORTE
248,19,149941539,2018-12-14 00:00:00,CUARTO APORTE
249,12,242214690,2018-11-12 00:00:00,CUARTO APORTE
250,20,106123245,2018-11-16 00:00:00,CUARTO APORTE
251,21,152207700,2018-12-14 00:00:00,CUARTO APORTE
252,22,85205329,2018-11-27 00:00:00,CUARTO APORTE
253,23,71764990,2019-02-01 00:00:00,CUARTO APORTE
254,24,75121616,2018-12-14 00:00:00,CUARTO APORTE
255,18,80655828,2019-05-15 00:00:00,CUARTO APORTE
256,15,91844232,2019-04-04 00:00:00,CUARTO APORTE
257,7,28216269,2018-11-16 00:00:00,CUARTO APORTE
258,40,3883830,2019-03-13 00:00:00,CUARTO APORTE
259,11,10356880,2019-06-28 00:00:00,CUARTO APORTE
260,39,75835668,2018-11-15 00:00:00,CUARTO APORTE
261,41,21999734,2019-06-21 00:00:00,CUARTO APORTE
262,27,42493616,2019-01-08 00:00:00,CUARTO APORTE
263,37,29131908,2019-08-22 00:00:00,CUARTO APORTE
264,28,40018520,2019-01-17 00:00:00,CUARTO APORTE
265,4,268128891,2019-02-20 00:00:00,PRIMER APORTE
266,19,164191105,2019-02-14 00:00:00,PRIMER APORTE
267,12,240857598,2019-01-28 00:00:00,PRIMER APORTE
268,20,106490904,2019-02-07 00:00:00,PRIMER APORTE
269,21,156994297,2019-02-25 00:00:00,PRIMER APORTE
270,22,85524129,2019-02-21 00:00:00,PRIMER APORTE
271,23,72052397,2019-04-04 00:00:00,PRIMER APORTE
272,24,75606801,2019-02-14 00:00:00,PRIMER APORTE
273,18,80964002,2019-05-16 00:00:00,PRIMER APORTE
274,15,94037220,2019-04-08 00:00:00,PRIMER APORTE
275,7,28317405,2019-02-22 00:00:00,PRIMER APORTE
276,40,3914040,2019-03-28 00:00:00,PRIMER APORTE
277,42,10931906,2019-05-13 00:00:00,PRIMER APORTE
278,11,10437440,2019-07-04 00:00:00,PRIMER APORTE
279,39,76132584,2019-02-18 00:00:00,PRIMER APORTE
280,27,42663331,2019-02-13 00:00:00,PRIMER APORTE
281,37,29249275,2019-08-23 00:00:00,PRIMER APORTE
282,28,40208271,2019-04-09 00:00:00,PRIMER APORTE
283,4,268040173,2019-05-17 00:00:00,SEGUNDO APORTE
284,19,164102386,2019-05-07 00:00:00,SEGUNDO APORTE
285,12,240768879,2019-04-25 00:00:00,SEGUNDO APORTE
286,20,106402186,2019-05-02 00:00:00,SEGUNDO APORTE
287,21,156905579,2019-05-29 00:00:00,SEGUNDO APORTE
288,22,85435411,2019-05-22 00:00:00,SEGUNDO APORTE
289,23,71963679,2019-07-22 00:00:00,SEGUNDO APORTE
290,24,75533739,2019-06-26 00:00:00,SEGUNDO APORTE
291,18,80875284,2019-06-07 00:00:00,SEGUNDO APORTE
292,15,92641977,2019-05-23 00:00:00,SEGUNDO APORTE
293,7,28291311,2019-05-09 00:00:00,SEGUNDO APORTE
294,40,3898384,2019-08-20 00:00:00,SEGUNDO APORTE
295,42,10916250,2019-05-13 00:00:00,SEGUNDO APORTE
296,11,11695151,2019-07-10 00:00:00,SEGUNDO APORTE
297,39,71900347,2019-05-07 00:00:00,SEGUNDO APORTE
298,27,42611144,2019-05-17 00:00:00,SEGUNDO APORTE
299,37,29212744,2019-08-26 00:00:00,SEGUNDO APORTE
300,28,40166521,2020-04-09 00:00:00,SEGUNDO APORTE
301,4,268491006,2019-08-16 00:00:00,TERCER APORTE
302,19,163271566,2019-08-22 00:00:00,TERCER APORTE
303,12,240418988,2019-07-31 00:00:00,TERCER APORTE
304,20,106576150,2019-08-28 00:00:00,TERCER APORTE
305,21,155816757,2019-10-04 00:00:00,TERCER APORTE
306,22,85886245,2019-09-02 00:00:00,TERCER APORTE
307,23,72004882,2019-12-02 00:00:00,TERCER APORTE
308,24,73548216,2019-09-30 00:00:00,TERCER APORTE
309,18,80512997,2019-09-05 00:00:00,TERCER APORTE
310,15,92706235,2019-10-28 00:00:00,TERCER APORTE
311,7,28423909,2019-08-07 00:00:00,TERCER APORTE
312,40,3977943,2019-08-27 00:00:00,TERCER APORTE
313,42,10995808,2019-08-19 00:00:00,TERCER APORTE
314,11,10490414,2019-09-11 00:00:00,TERCER APORTE
315,39,72351181,2019-08-12 00:00:00,TERCER APORTE
316,27,42876340,2019-08-29 00:00:00,TERCER APORTE
317,37,30724363,2019-09-03 00:00:00,TERCER APORTE
318,28,43030640,2020-06-16 00:00:00,TERCER APORTE
319,4,273895742,2019-11-13 00:00:00,CUARTO APORTE
320,19,166239240,2019-11-15 00:00:00,CUARTO APORTE
321,12,245184285,2019-10-28 00:00:00,CUARTO APORTE
322,20,107127205,2019-11-29 00:00:00,CUARTO APORTE
323,21,158579584,2019-12-02 00:00:00,CUARTO APORTE
324,22,87009389,2019-11-04 00:00:00,CUARTO APORTE
325,23,72812151,2020-02-28 00:00:00,CUARTO APORTE
326,24,76739266,2019-11-18 00:00:00,CUARTO APORTE
327,18,81529219,2019-11-14 00:00:00,CUARTO APORTE
328,15,94198857,2020-03-20 00:00:00,CUARTO APORTE
329,43,3914040,2020-02-21 00:00:00,CUARTO APORTE
330,7,28828416,2019-12-04 00:00:00,CUARTO APORTE
331,40,3914040,2019-12-30 00:00:00,CUARTO APORTE
332,42,11096456,2019-11-20 00:00:00,CUARTO APORTE
333,11,10298706,2019-12-11 00:00:00,CUARTO APORTE
334,39,73156964,2019-11-06 00:00:00,CUARTO APORTE
335,27,44662439,2019-12-23 00:00:00,CUARTO APORTE
336,37,31025634,2019-11-21 00:00:00,CUARTO APORTE
337,4,281307855,2020-02-27 00:00:00,PRIMER APORTE
338,19,170961822,2020-01-29 00:00:00,PRIMER APORTE
339,12,252641809,2020-01-23 00:00:00,PRIMER APORTE
340,20,111403113,2020-02-19 00:00:00,PRIMER APORTE
341,21,162871034,2020-03-23 00:00:00,PRIMER APORTE
342,23,71684356,2020-03-23 00:00:00,PRIMER APORTE
343,24,79033741,2020-02-17 00:00:00,PRIMER APORTE
344,18,84570672,2020-02-20 00:00:00,PRIMER APORTE
345,15,96748048,2020-03-26 00:00:00,PRIMER APORTE
346,43,4019961,2020-03-02 00:00:00,PRIMER APORTE
347,7,29608565,2020-02-03 00:00:00,PRIMER APORTE
348,40,4019961,2020-05-07 00:00:00,PRIMER APORTE
349,42,11396746,2020-02-20 00:00:00,PRIMER APORTE
350,11,12059883,2020-03-12 00:00:00,PRIMER APORTE
351,39,75136724,2020-02-28 00:00:00,PRIMER APORTE
352,27,45871085,2020-02-17 00:00:00,PRIMER APORTE
353,37,31865243,2020-04-09 00:00:00,PRIMER APORTE
354,4,280513212,2020-04-30 00:00:00,SEGUNDO APORTE
355,19,170167179,2020-04-24 00:00:00,SEGUNDO APORTE
356,12,251847165,2020-04-22 00:00:00,SEGUNDO APORTE
357,20,110608469,2020-04-30 00:00:00,SEGUNDO APORTE
358,21,160228744,2020-05-20 00:00:00,SEGUNDO APORTE
359,24,78379329,2020-05-13 00:00:00,SEGUNDO APORTE
360,18,83776028,2020-05-04 00:00:00,SEGUNDO APORTE
361,15,96140379,2020-06-12 00:00:00,SEGUNDO APORTE
362,43,3879730,2020-05-04 00:00:00,SEGUNDO APORTE
363,7,29374846,2020-04-29 00:00:00,SEGUNDO APORTE
364,40,3879730,2020-05-27 00:00:00,SEGUNDO APORTE
365,42,11256515,2020-04-29 00:00:00,SEGUNDO APORTE
366,11,11639189,2020-05-06 00:00:00,SEGUNDO APORTE
367,39,74342080,2020-04-24 00:00:00,SEGUNDO APORTE
368,27,45356904,2020-05-05 00:00:00,SEGUNDO APORTE
369,37,31491293,2020-04-22 00:00:00,SEGUNDO APORTE
