ID,CARGO,REGION.ID,TERRITORIO.ID,CANDIDATO.ID,ANO,PARTIDO.ID
447,CONSEJEROS REGIONALES,8,154,16442,2017,1
448,CONCEJALES,13,359,12944,2021,38
449,CONCEJALES,9,166,8386,2021,3
450,CONSEJEROS REGIONALES,13,437,1273,2017,5
451,CONCEJALES,1,344,1606,2021,38
452,CONCEJALES,9,148,8312,2021,38
453,CONCEJALES,13,392,13219,2021,49
454,CONCEJALES,5,379,3830,2021,8
455,DIPUTADOS,13,17,18600,2017,38
456,ALCALDES,9,248,789,2021,38
457,CONCEJALES,13,244,11775,2021,13
458,CONSEJEROS REGIONALES,6,145,17406,2017,1
459,DIPUTADOS,8,27,16743,2017,38
460,CONCEJALES,3,189,2138,2021,0
461,CONCEJALES,5,369,2210,2021,38
462,CONVENCIONALES CONSTITUYENTES,7,22,15527,2021,38
463,CONVENCIONALES CONSTITUYENTES,13,73,16227,2021,38
464,CONCEJALES,10,256,9673,2021,1
465,CONCEJALES,7,331,6271,2021,38
466,CONCEJALES,11,139,10301,2021,8
467,CONCEJALES,6,231,4837,2021,3
468,CONCEJALES,7,144,5847,2021,8
469,CONCEJALES,13,278,12153,2021,6
470,CONCEJALES,14,239,13909,2021,2
471,CONSEJEROS REGIONALES,10,131,19311,2017,17
472,CONSEJEROS REGIONALES,6,99,19080,2017,3
473,CONVENCIONALES CONSTITUYENTES,8,27,15661,2021,38
474,CONCEJALES,13,392,13236,2021,0
475,CONCEJALES,13,293,12257,2021,8
476,ALCALDES,8,375,695,2021,38
477,CONCEJALES,13,310,12317,2021,38
478,CONCEJALES,8,97,6967,2021,38
479,CONVENCIONALES CONSTITUYENTES,7,23,15567,2021,38
480,CONCEJALES,5,113,3045,2021,8
481,CONCEJALES,8,271,7617,2021,38
482,DIPUTADOS,2,36,1737,2017,45
483,CONCEJALES,10,215,9637,2021,10
484,CONCEJALES,6,212,4784,2021,1
485,CONCEJALES,9,451,9097,2021,16
486,CONCEJALES,7,476,6830,2021,38
487,CONCEJALES,7,171,5923,2021,38
488,CONCEJALES,5,477,4386,2021,6
489,CONCEJALES,5,94,2946,2021,38
490,SENADORES,13,12,16547,2013,4
491,CONCEJALES,6,246,4860,2021,13
492,CONSEJEROS REGIONALES,8,153,17534,2013,38
493,CONCEJALES,7,172,5962,2021,35
494,CONCEJALES,4,234,2533,2021,13
495,CONCEJALES,6,382,5422,2021,35
496,CONCEJALES,13,444,13731,2021,38
497,CONCEJALES,11,213,10386,2021,1
498,CONCEJALES,14,207,13855,2021,38
499,CONCEJALES,5,356,3733,2021,3
500,CONCEJALES,15,106,14354,2021,8
501,CONCEJALES,14,467,14243,2021,1
502,CONSEJEROS REGIONALES,13,440,19534,2017,38
503,CONCEJALES,7,250,6080,2021,48
504,CONCEJALES,6,393,5550,2021,38
505,CONCEJALES,5,196,3262,2021,38
506,ALCALDES,7,445,594,2021,38
507,CONCEJALES,14,467,14257,2021,5
508,CONCEJALES,7,295,6243,2021,13
509,CONCEJALES,13,232,11528,2021,22
510,CONCEJALES,2,100,1803,2021,38
511,CONSEJEROS REGIONALES,6,98,5455,2017,23
512,CONSEJEROS REGIONALES,5,470,17319,2013,37
513,CONCEJALES,14,397,14182,2021,8
514,CONCEJALES,9,309,8754,2021,8
515,CONCEJALES,9,451,9088,2021,3
516,CONVENCIONALES CONSTITUYENTES,13,72,16200,2021,38
517,CONSEJEROS REGIONALES,7,445,19143,2017,6
518,CONCEJALES,13,421,13484,2021,48
519,CONSEJEROS REGIONALES,7,172,5997,2017,38
520,CONCEJALES,6,212,4808,2021,8
521,CONCEJALES,7,117,5765,2021,38
522,CONSEJEROS REGIONALES,1,225,18787,2017,12
523,ALCALDES,13,167,1077,2021,38
524,CONCEJALES,13,120,10810,2021,10
525,CONSEJEROS REGIONALES,3,124,2060,2013,13
526,SENADORES,9,1,16861,2017,2
527,GOBERNADOR REGIONAL,5,185,16417,2021,38
528,CONCEJALES,13,232,11499,2021,2
529,DIPUTADOS,12,70,16803,2013,38
530,CONCEJALES,7,405,6535,2021,38
531,CONCEJALES,13,424,13536,2021,38
532,DIPUTADOS,15,14,18728,2017,3
533,DIPUTADOS,5,71,4302,2017,38
534,CONSEJEROS REGIONALES,12,276,17763,2013,38
535,CONSEJEROS REGIONALES,7,445,17465,2013,38
536,CONCEJALES,10,101,9372,2021,38
537,CONCEJALES,13,332,12486,2021,38
538,CONCEJALES,13,337,12698,2021,38
539,CONSEJEROS REGIONALES,14,467,17987,2013,3
540,DIPUTADOS,6,20,18327,2017,43
541,CONCEJALES,5,479,4486,2021,38
542,CONCEJALES,13,232,11454,2021,13
543,CONSEJEROS REGIONALES,10,256,19320,2017,23
544,CONSEJEROS REGIONALES,14,387,17971,2013,38
545,CONCEJALES,6,386,5516,2021,38
546,CONCEJALES,7,395,6441,2021,38
547,CONCEJALES,2,313,1885,2021,38
548,ALCALDES,5,379,296,2021,3
549,CONSEJEROS REGIONALES,11,164,17730,2017,3
550,CONCEJALES,10,256,9657,2021,38
551,CONSEJEROS REGIONALES,2,85,17056,2013,4
552,DIPUTADOS,15,14,18022,2017,2
553,CONVENCIONALES CONSTITUYENTES,13,17,16035,2021,38
554,CONCEJALES,8,339,7731,2021,1
555,CONCEJALES,3,220,2210,2021,6
556,DIPUTADOS,13,17,18605,2017,1
557,CONCEJALES,6,414,5639,2021,38
558,CONSEJEROS REGIONALES,5,413,3784,2017,13
559,CONCEJALES,16,388,14922,2021,38
560,CONCEJALES,9,248,8545,2021,38
561,DIPUTADOS,13,18,18616,2017,7
562,CONCEJALES,13,383,13091,2021,2
563,CONSEJEROS REGIONALES,9,118,17607,2013,6
564,CONCEJALES,13,167,11050,2021,22
565,CONSEJEROS REGIONALES,12,276,17784,2013,38
566,CONCEJALES,11,89,10225,2021,0
567,CONCEJALES,9,202,8450,2021,2
568,CONCEJALES,8,339,7717,2021,38
569,DIPUTADOS,8,27,681,2017,38
570,CONVENCIONALES CONSTITUYENTES,15,14,16337,2021,38
571,CONCEJALES,5,484,4546,2021,8
572,CONCEJALES,8,266,7512,2021,22
573,CONCEJALES,2,291,1844,2021,38
574,CONVENCIONALES CONSTITUYENTES,9,28,15704,2021,38
575,CONCEJALES,13,247,11852,2021,13
576,CONSEJEROS REGIONALES,3,159,97,2017,0
577,CONSEJEROS REGIONALES,14,387,17969,2013,40
578,CONCEJALES,13,278,12191,2021,43
579,CONVENCIONALES CONSTITUYENTES,10,32,15811,2021,38
