ID,TERRITORIO
397,LAGUNA BLANCA
398,NATALES
399,PORVENIR
400,PRIMAVERA
401,PUNTA ARENAS
402,RIO VERDE
403,SAN GREGORIO
404,TIMAUKEL
405,TORRES DEL PAINE
406,ALHUE
407,BUIN
408,CALERA DE TANGO
409,CERRILLOS
410,CERRO NAVIA
411,COLINA
412,CONCHALI
413,CURACAVI
414,EL BOSQUE
415,EL MONTE
416,ESTACION CENTRAL
417,HUECHURABA
418,INDEPENDENCIA
419,ISLA DE MAIPO
420,LA CISTERNA
421,LA FLORIDA
422,LA GRANJA
423,LA PINTANA
424,LA REINA
425,LAMPA
426,LAS CONDES
427,LO BARNECHEA
428,LO ESPEJO
429,LO PRADO
430,MACUL
431,MAIPU
432,MARIA PINTO
433,NUNOA
434,PADRE HURTADO
435,PAINE
436,PEDRO AGUIRRE CERDA
437,PENAFLOR
438,PENALOLEN
439,PIRQUE
440,PROVIDENCIA
441,PUDAHUEL
442,PUENTE ALTO
443,QUILICURA
444,QUINTA NORMAL
445,RECOLETA
446,RENCA
447,SAN BERNARDO
448,SAN JOAQUIN
449,SAN JOSE DE MAIPO
450,SAN MIGUEL
451,SAN PEDRO
452,SAN RAMON
453,SANTIAGO
454,TILTIL
455,VITACURA
456,CORRAL
457,FUTRONO
458,LA UNION
459,LAGO RANCO
460,LANCO
461,LOS LAGOS
462,MAFIL
463,MARIQUINA
464,PAILLACO
465,PANGUIPULLI
466,RIO BUENO
467,CAMARONES
468,GENERAL LAGOS
469,PUTRE
470,BULNES
471,CHILLAN
472,CHILLAN VIEJO
473,COBQUECURA
474,COELEMU
475,COIHUECO
476,EL CARMEN
477,NINHUE
478,NIQUEN
479,PEMUCO
480,PINTO
481,PORTEZUELO
482,QUILLON
483,QUIRIHUE
484,RANQUIL
485,SAN CARLOS
486,SAN FABIAN
487,SAN IGNACIO
488,SAN NICOLAS
489,TREGUACO
490,YUNGAY
491,OLLAGUE
492,MARCHIGUE
493,MARCHIGÜE
494,DISTRITO 2
495,DISTRITO 3
496,DISTRITO 4
497,DISTRITO 5
498,DISTRITO 6
499,DISTRITO 7
500,DISTRITO 15
501,DISTRITO 16
502,DISTRITO 17
503,DISTRITO 18
504,DISTRITO 20
505,DISTRITO 21
506,DISTRITO 22
507,DISTRITO 23
508,DISTRITO 25
509,DISTRITO 26
510,DISTRITO 27
511,DISTRITO 28
512,DISTRITO 10
513,DISTRITO 11
514,DISTRITO 12
515,DISTRITO 13
516,DISTRITO 14
517,DISTRITO 8
518,DISTRITO 9
519,DISTRITO 24
520,DISTRITO 1
521,DISTRITO 19
522,DE TARAPACA
523,DE ANTOFAGASTA
524,DE ATACAMA
525,DE COQUIMBO
526,DE VALPARAISO
527,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS
528,DEL MAULE
529,DEL BIOBIO
530,DE LA ARAUCANIA
531,DE LOS LAGOS
532,DE AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO
533,DE MAGALLANES Y DE LA ANTARTICA CHILENA
534,METROPOLITANA DE SANTIAGO
535,DE LOS RIOS
536,DE ARICA Y PARINACOTA
537,DE NUBLE
538,NACIONAL
539,PAIGUANO
540,TREHUACO
541,CABO DE HORNOSEXNAVARINO
542,OHIGGINS
543,ANTARTICA
